ID	NAME	DEFINITION	STAR	FORMULA	MONOISOTOPIC MASS	CHARGE	BPDB ACCESSION	CHEMIDPLUS	DRUGBANK ACCESSION	DRUGCENTRAL ACCESSION	ECMDB ACCESSION	GLYTOUCAN ACCESSION	GLYGEN ACCESSION	HMDB ACCESSION	KEGG COMPOUND ACCESSION	KEGG DRUG ACCESSION	KEGG GLYCAN ACCESSION	KNApSAcK ACCESSION	LINCS ACCESSION	LIPID MAPS INSTANCE ACCESSION	LIPID MAPS CLASS ACCESSION	METACYC ACCESSION	MOLBASE ACCESSION	NIST CHEMISTRY WEBBOOK	PDB ACCESSION	PDBECHEM ACCESSION	PESTICIDES ACCESSION	PPDB ACCESSION	SMID ACCESSION	VSDB ACCESSION	WEBELEMENTS ACCESSION	WIKIPEDIA ACCESSION	YMDB ACCESSION
CHEBI:24279	glucosinolate	Water-soluble anionic substituted thioglucosides. Glucosinolates have a central C atom which is bonded via an S atom to a glycone group and via an N atom to a sulfonated oxime group, and which also carries a side-group. The side-chain and sulfate group have an anti stereochemical configuration across the C=N double bond.	3	C7H11NO9S2R	316.98752	-1									C17260																	Glucosinolate		
CHEBI:183090	(Z)-3-hydroxypropyl glucosinolate(1-)		2	C10H18NO10S2	376.03776	-1																3-HYDROXYPROPYL-GLUCOSINOLATE												
CHEBI:183099	(Z)-alkenyl glucosinolate(1-)		2	C9H14NO9S2R	344.01100	-1																alkenyl-glucosinolate												
CHEBI:183098	(Z)-glucosinolate(1-)		2	C7H11NO9S2R	316.98752	-1																Glucosinolates												
CHEBI:136435	omega-[(methylsulfinyl)alkyl]glucosinolate	An alkylglucosinolate resulting from the removal of the proton of the hydrogen sulfate group of any ω-[(methylsulfinyl)alkyl]glucosinolic acid.	3	(CH2)n.C10H18NO10S3		-1																omega-methylsulfinylalkylglucosinolate												
CHEBI:24796	indolylmethylglucosinolate	A glucosinolate that is the conjugate base of indolylmethylglucosinolic acid.	3	C16H20N2O9S2	448.06102	0																												
CHEBI:62724	4-hydroxyglucobrassicin(1-)	An indolylmethylglucosinolate that is the conjugate base of 4-hydroxyglucobrassicin.	3	C16H19N2O10S2	463.04866	-1									C08422			C00000127				4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE												
CHEBI:27506	neoglucobrassicin	An indolyl carbohydrate that is glucobrassicin methoxy substituted at position 1 of the indole moiety.	3	C17H22N2O10S2	478.07159	0		5187-84-8						HMDB0038384	C08424			C00000126				1-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE												
CHEBI:1890	4-methoxyglucobrassicin	An  indolylmethylglucosinolic acid that is glucobrassicin bearing a methoxy substituent at position 4 on the indole ring.	3	C17H22N2O10S2	478.07159	0		83327-21-3							C08423			C00000128				4-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE												
CHEBI:47798	xi-progoitrin(1-)	A glucosinolate resulting from the removal of a proton from the oxime hydrogen sulfate moiety of ξ-progoitrin.	3	C11H18NO10S2	388.03776	-1																												
